movie_or_serie,title,director,cast,country,date_added_platform,release_year,duration_seconds,gender_type,description,channel_streaming,nueva_columna
TV Show,the invisibles,uninformed director,"Anthony Head, Warren Clarke, Jenny Agutter",uninformed country,,2008,1 Season,"comedy, drama","After fifteen years of living it up in the Costa Del Crime, ex-criminals Mo and Sid soon discover everyday life is a far cry from the white knuckle ride of a spot of breaking and entering.",amazon-prime-movies-and-tv-shows,
Movie,final destination 3,James Wong,"Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche, Alexz Johnson, Sam Easton, Jesse Moss, Gina Holden, Texas Battle, Chelan Simmons, Crystal Lowe, Amanda Crew","United States, Germany","January 1, 2020",2006,93 min,"horror ,","When a girl prevents her premonition of a deadly roller-coaster mishap from coming true, the survivors must face the consequences of cheating death.",netflix-shows,
Movie,jeff dunham: achmed saves america,Frank Marino,Jeff Dunham,uninformed country,,2014,61 min,"arts, entertainment, and culture, comedy, special interest","Achmed is having a very bad day. As if accidentally blowing himself up until he's a talking skeleton isn't bad enough, the world's most incompetent terrorist finds himself whisked away from his homeland by a bald eagle and taken to - Americaville, USA.",amazon-prime-movies-and-tv-shows,
Movie,the king maker,Lek Kitaparaporn,"Gary Stretch, John Rhys-Davies, Cindy Burbridge",uninformed country,,2007,92 min,"action, romance","In 1547, a young mercenary soldier hunts for the murderer of his father. When his ship sinks in the Indian Ocean, he is washed up on a beach, captured, and sold into slavery. A young woman buys his freedom, and they fall in love. When the King declares war on a nearby territory, the soldier is forced into battle. His courage wins him the right to be the personal guard of the King.",amazon-prime-movies-and-tv-shows,
Movie,hitler - a career,"Joachim Fest, Christian Herrendoerfer",uninformed cast,West Germany,"February 10, 2017",1977,150 min,"documentaries, international ,","This documentary examines how Adolf Hitler's talent for manipulation, psychology and image-making led him from humble origins to near-world conquest.",netflix-shows,
TV Show,chivalry of a failed knight,uninformed director,uninformed cast,Japan,"October 10, 2015",2015,1 Season,"action, adventure, anime","For Ikki Kurogane, graduating as a Magical Knight is nigh impossible. Among Blazers, heâ€™s considered the worst; he can materialize his soul into a weapon, but his magical power is extremely low. To add insult to injury, an unfortunate encounter with the talented and beautiful Princess Stella Vermillion slashes his already slim odds and alters the course of his life forever.",hulu-movies-and-tv-shows,
Movie,the shootist,Don Siegel,"John Wayne, Lauren Bacall, James Stewart, Ron Howard, John Carradine, Bill McKinney, Harry Morgan, Hugh O'Brian, Richard Boone, Scatman Crothers, Sheree North",uninformed country,,1976,99 min,western,"Afflicted with a terminal illness, John Bernard Books, the last of the legendary gunfighters, quietly returns to Carson City for medical attention from his old friend Dr. Hostetler.",amazon-prime-movies-and-tv-shows,
TV Show,focus forward,uninformed director,uninformed cast,uninformed country,,2013,1 Season,documentary,"FOCUS FORWARD is an unprecedented new series of 30 three-minute stories about innovative people who are reshaping the world through act or invention, directed by the world's most celebrated documentary filmmakers.",amazon-prime-movies-and-tv-shows,
Movie,my dog the space traveler,Robin Christian,"Logan Borsari, Santiago Craig, Chris Lemmon",uninformed country,,2014,98 min,"kids, science fiction","A young boy loses his dog to an anomaly in his backyard, a portal which leads to another dimension of our universe. He must rely on his friends and dysfunctional family to get the dog back and close the portal before it creates a rift that might destroy both universes.",amazon-prime-movies-and-tv-shows,
Movie,the new adventures of tarzan,Edward A. Kull,"Bruce Bennett, Ulta Holt",uninformed country,,1935,58 min,"action, adventure",The Green Goddess is a totem worshiped by the primitive natives of a lost city deep in the jungle of Guatemala. It contains both a fortune in jewels and an ancient formula for a super-explosive which could threaten world safety.,amazon-prime-movies-and-tv-shows,
Movie,krish trish and baltiboy: comics of india,Tilak Shetty,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",uninformed country,"September 8, 2017",2012,61 min,"children , family ,","In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.",netflix-shows,
Movie,iliza shlesinger: war paint,Jay Chapman,Iliza Shlesinger,uninformed country,,2013,75 min,"arts, entertainment, and culture, comedy, special interest","Her innocent good looks are just a cover for Last Comic Standing winner Iliza Shlesinger's acerbic, stream-of-conscious comedy that she unleashes on an unsuspecting audience in her hometown of Dallas in her stand-up special, War Paint.",amazon-prime-movies-and-tv-shows,
